Full Address,Latitude,Longitude,Transaction Type,Sold Price,Sold Date,Property Type,PhotoURL
"9103 Longstone Drive, Columbus, OH 43035",40.151342,-83.003197,Buyer,"362,000",07/12/2021,Residential,images/9103 Longstone Dr.jpg
"7169 Steel Dust Drive 27-716, Columbus, OH 43054",40.106632,-82.823967,Buyer,"215,000",07/12/2021,Residential
"1992 Big Tree Drive, Columbus, OH 43223",39.924571,-83.050200,Seller/Listing,"251,700",07/16/2021,Residential
"5142 Doral Avenue, Whitehall, OH 43213",39.962797,-82.861384,Buyer,"265,000",07/19/2021,Residential
"2710 Regina Avenue, Columbus, OH 43204",39.935877,-83.069795,Buyer,"196,000",07/23/2021,Residential
"2596 E Livingston Avenue, Bexley, OH 43209",39.947571,-82.927264,Buyer,"265,000",08/11/2021,Residential
"7278 Colonial Affair Drive 11-727, Columbus, OH 43054",40.107835,-82.821916,Buyer,"215,000",08/16/2021,Residential
"109 N Westgate Avenue, Columbus, OH 43204",39.956574,-83.083429,Buyer,"115,000",08/16/2021,Residential
"119 Flint Rock Drive, Delaware, OH 43015",40.301860,-83.101686,Seller/Listing,"225,000",08/19/2021,Residential
"5947 Pine Rise Court 5947, Columbus, OH 43231",40.095906,-82.937146,Seller/Listing,"129,900",08/27/2021,Residential
"4475 Millwater Drive, OH 43065",40.179569,-83.110686,Buyer,"510,000",08/31/2021,Residential
"8071 Cranes Crossing Drive S, OH 43035",40.170333,-83.010579,Seller/Listing,"168,000",09/10/2021,Residential
"334 Amesbury Drive, Gahanna, OH 43230",40.027590,-82.901725,Seller/Listing,"225,000",09/17/2021,Residential
"8443 Gardenia Drive Lot 1053, OH 43064",40.186869,-83.185799,Buyer,"547,220",09/20/2021,Residential
"5746 Braymoore Drive, OH 43021",40.184628,-82.935297,Buyer,"495,000",09/21/2021,Residential
"8734 Renfrew Street, Columbus, OH 43065",40.134174,-83.083561,Seller/Listing,"426,500",09/24/2021,Residential
"6125 Paris Boulevard N, OH 43081",40.094304,-82.913730,Seller/Listing,"210,000",09/24/2021,Residential
"4837 Fosterson Drive, Columbus, OH 43137",39.861803,-82.996065,Seller/Listing,"225,000",09/30/2021,Residential
"2710 Bernadette Road, Columbus, OH 43204",39.936608,-83.069732,Buyer,"155,000",10/05/2021,Residential
"1643 Marigold Street, OH 43035",40.180979,-83.002629,Seller/Listing,"372,000",10/12/2021,Residential
"3152 Rivermill Drive, Columbus, OH 43220",40.063903,-83.100940,Buyer,"250,000",10/15/2021,Residential
"6100 Dajana Drive, Columbus, OH 43081",40.105857,-82.856565,Buyer,"389,900",10/22/2021,Residential
"3110 Jetstream Drive, Columbus, OH 43231",40.072131,-82.937593,Buyer,"220,000",10/29/2021,Residential
"7423 Spruce Court, OH 43064",40.169726,-83.180602,Buyer,"682,000",11/04/2021,Residential
"635 N Main Street, Utica, OH 43080",40.242493,-82.452248,Buyer,"146,000",11/08/2021,Residential
"4683 Cadmus Drive, Columbus, OH 43228",39.913428,-83.116308,Buyer,"134,000",11/08/2021,Residential
"151 N Chase Avenue, Columbus, OH 43204",39.957937,-83.077318,Buyer,"117,000",11/11/2021,Residential
"3976 Thims Court, Hilliard, OH 43026",40.054460,-83.123625,Seller/Listing,"415,000",11/15/2021,Residential
"383 Galloway Ridge Drive, Columbus, OH 43119",39.957545,-83.155440,Buyer,"249,000",11/15/2021,Residential
"5958 Sebring Drive, Columbus, OH 43081",40.09773,-82.855093,Buyer,"438,000",11/16/2021,Residential
"7403 Summerfield Drive, OH 43035",40.175128,-82.994996,Seller/Listing,"476,014",11/18/2021,Residential
"459 W William Street, Delaware, OH 43015",40.299534,-83.085123,Buyer,"345,000",11/19/2021,Residential
"864 Hanover Road, OH 43015",40.351078,-83.054777,Seller/Listing,"565,000",11/19/2021,Residential
"9127 Pleasant Chapel Road, OH 43056",39.968483,-82.335003,Seller/Listing,"389,900",11/19/2021,Residential
"106 N High Street 603, Columbus, OH 43215",39.964439,-83.000997,Buyer,"210,000",11/22/2021,Residential
"8763 Arrowtip Lane, Columbus, OH 43035",40.142760,-83.014916,Buyer,"285,000",11/22/2021,Residential
"5159 Strawberry Farms Boulevard, Columbus, OH 43230",40.077276,-82.915872,Buyer,"237,000",11/26/2021,Residential
"256 E Schreyer Place, Columbus, OH 43214",40.052266,-83.012966,Buyer,"330,000",11/30/2021,Residential
"417 Equality Way, Columbus, OH 43119",39.960308,-83.158191,Buyer,"200,000",11/30/2021,Residential
"1421 Missouri Avenue, Delaware, OH 43015",40.272755,-83.066455,Buyer,"105,000",12/03/2021,Residential
"1395 Duxberry Avenue, Columbus, OH 43211",40.008853,-82.971797,Buyer,"170,000",12/03/2021,Residential
"482 State Route 257 S, OH 43061",40.313988,-83.173426,Buyer,"820,000",12/03/2021,Residential
"737 Swanson Street, Delaware, OH 43015",40.301779,-83.102954,Buyer,"237,000",12/06/2021,Residential
"6035 Mamie Drive, OH 43147",39.918813,-82.699386,Buyer,"556,500",12/10/2021,Residential
"264 N 20th Street, Columbus, OH 43203",39.970944,-82.973330,Buyer,"375,000",12/10/2021,Residential
"305 Parkwood Avenue, Pickerington, OH 43147",39.891100,-82.771698,Buyer,"301,500",12/15/2021,Residential
"573 Olentangy Woods Drive, Columbus, OH 43235",40.064136,-83.036303,Seller/Listing,"293,000",12/20/2021,Residential
